,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
77,6893,Stuart Armstrong,32,2701,4,2.562590417,5,2.51805779,51,33,3,0,M S,Southampton,4,2.562590417,9.479516074,6.250183905
78,7420,Miguel Almirón,34,2458,4,3.509381879,1,3.135925354,33,31,3,0,F M S,Newcastle United,4,3.509381879,9.295024225,3.89906712
79,8706,Eberechi Eze,34,2570,4,2.494572142,6,3.741961938,37,42,3,0,M S,Crystal Palace,4,2.494572142,7.996477496,3.95995456
80,8778,Fabio Silva,31,1251,4,5.958538793,2,1.035430551,45,10,2,0,F S,Wolverhampton Wanderers,3,5.197369963,4.897674456,1.070238331
81,101,Allan Saint-Maximin,25,1578,3,2.825913109,4,4.013324308,30,29,0,0,F M S,Newcastle United,3,2.825913109,10.59472032,4.224002955
82,111,Jannik Vestergaard,29,2481,3,2.026947489,0,0.740825264,22,7,3,1,D S,Southampton,3,2.026947489,5.853648512,5.77886413
83,239,Pascal Groß,33,2379,3,5.01052577,8,5.368290125,32,69,3,0,D M S,Brighton,0,1.965887193,10.40441941,6.732295144
84,503,Theo Walcott,22,1660,3,2.280676642,3,1.263102759,29,17,0,0,F M S,"Everton,Southampton",3,2.280676642,5.551979408,2.233550109
85,528,Angelo Ogbonna,27,2403,3,1.696073647,0,0.428470748,13,4,5,0,D,West Ham,3,1.696073647,3.929544438,3.707049493
86,592,Ross Barkley,26,1574,3,3.699933971,1,4.319002612,39,40,0,0,M S,"Aston Villa,Chelsea",3,3.699933971,9.89690284,3.717251487
87,669,Ashley Westwood,37,3322,3,1.005990317,3,6.352089331,19,49,7,0,M,Burnley,3,1.005990317,10.01063837,6.28727473
88,773,Aleksandar Mitrovic,27,1369,3,5.677362999,3,2.924711155,59,23,3,0,F S,Fulham,2,4.155025309,7.808299113,1.849482123
89,782,Ben Chilwell,27,2296,3,2.9848904,5,2.455677841,27,30,3,0,D M,Chelsea,3,2.9848904,11.33096135,8.155131921
90,804,Craig Dawson,21,1835,3,2.692452204,0,0.054468296,15,2,3,1,D,West Ham,3,2.692452204,2.926758008,2.926758008
